"経済活動(産業)","2001_平成13年度","2002_平成14年度","2003_平成15年度","2004_平成16年度","2005_平成17年度","2006_平成18年度","2007_平成19年度","2008_平成20年度","2009_平成21年度","2010_平成22年度","2011_平成23年度","2012_平成24年度","2013_平成25年度"
"","","","","","","","","","","","","",""
"１.産業","3119110.0","3073481.0","3069079.0","3078702.0","3164111.0","3192291.0","3109738.0","2994380.0","2848738.0","3031141.0","3060888.0","3069993.0","3091421.0"
"","","","","","","","","","","","","",""
"１.産業_(1)農林水産業","90338.0","92430.0","85714.0","90035.0","77906.0","84006.0","76567.0","78389.0","61550.0","76007.0","75083.0","72542.0","68801.0"
"１.産業_(1)農林水産業_①農業","68450.0","74099.0","70737.0","76381.0","64753.0","71836.0","64657.0","68847.0","53462.0","67205.0","65993.0","63540.0","60550.0"
"１.産業_(1)農林水産業_②林業","7149.0","5730.0","5562.0","4288.0","4068.0","3757.0","2908.0","2524.0","2256.0","2244.0","2270.0","1889.0","1961.0"
"１.産業_(1)農林水産業_③水産業","14739.0","12601.0","9415.0","9366.0","9085.0","8413.0","9002.0","7018.0","5832.0","6558.0","6820.0","7113.0","6290.0"
"","","","","","","","","","","","","",""
"１.産業_(2)鉱業","16165.0","16006.0","17151.0","12840.0","11844.0","2703.0","1983.0","1713.0","1257.0","1384.0","1235.0","1426.0","2222.0"
"","","","","","","","","","","","","",""
"１.産業_(3)製造業","981110.0","937690.0","970957.0","954453.0","1108607.0","1110030.0","1026253.0","977865.0","811667.0","948601.0","993104.0","944697.0","891216.0"
"１.産業_(3)製造業_①食料品","147596.0","131985.0","67713.0","66498.0","60119.0","61605.0","55184.0","59698.0","50251.0","60619.0","70741.0","64506.0","63012.0"
"１.産業_(3)製造業_②繊維","32931.0","29592.0","26091.0","28075.0","25525.0","26153.0","19007.0","18795.0","19815.0","16358.0","19544.0","20387.0","19084.0"
"１.産業_(3)製造業_③パルプ・紙","7618.0","6061.0","6107.0","6441.0","6607.0","6075.0","6374.0","5339.0","4643.0","4964.0","4496.0","5949.0","6375.0"
"１.産業_(3)製造業_④化学","165121.0","175860.0","197893.0","190711.0","201300.0","143755.0","112665.0","102198.0","104033.0","123356.0","139355.0","135099.0","138034.0"
"１.産業_(3)製造業_⑤石油･石炭製品","234133.0","195790.0","241219.0","180258.0","170183.0","149384.0","119752.0","157800.0","87884.0","222081.0","222919.0","196237.0","128451.0"
"１.産業_(3)製造業_⑥窯業･土石製品","14985.0","14551.0","12045.0","11293.0","11590.0","10751.0","10718.0","9125.0","8219.0","8766.0","24024.0","21905.0","24370.0"
"１.産業_(3)製造業_⑦鉄鋼","115824.0","124697.0","149220.0","185004.0","337343.0","396367.0","339223.0","290675.0","211089.0","171410.0","195410.0","201474.0","193164.0"
"１.産業_(3)製造業_⑧非鉄金属","1702.0","1767.0","1797.0","1511.0","2397.0","5262.0","15061.0","10040.0","6923.0","2069.0","3819.0","7099.0","3429.0"
"１.産業_(3)製造業_⑨金属製品","50202.0","42272.0","37664.0","37100.0","36473.0","38949.0","43363.0","39111.0","49089.0","39747.0","36250.0","38060.0","41884.0"
"１.産業_(3)製造業_⑩一般機械","98168.0","103986.0","117583.0","123007.0","135409.0","158839.0","193673.0","169540.0","161878.0","205507.0","160557.0","160392.0","173873.0"
"１.産業_(3)製造業_⑪電気機械","9652.0","5768.0","9724.0","14580.0","15765.0","13732.0","16625.0","13366.0","21578.0","14306.0","18604.0","11722.0","16333.0"
"１.産業_(3)製造業_⑫輸送機械","4281.0","3996.0","4350.0","6708.0","8057.0","8502.0","9932.0","9974.0","7585.0","2047.0","9974.0","6917.0","7216.0"
"１.産業_(3)製造業_⑬精密機械","22240.0","21871.0","26828.0","28136.0","21836.0","15900.0","14991.0","17338.0","4025.0","5506.0","6837.0","6370.0","8593.0"
"１.産業_(3)製造業_⑭その他の製造業","76657.0","79494.0","72723.0","75131.0","76003.0","74756.0","69685.0","74866.0","74655.0","71865.0","80574.0","68580.0","67398.0"
"","","","","","","","","","","","","",""
"１.産業_(4)建設業","198896.0","176699.0","173398.0","172121.0","164364.0","181569.0","166204.0","159586.0","172281.0","182396.0","210017.0","255395.0","331152.0"
"","","","","","","","","","","","","",""
"１.産業_(5)電気･ｶﾞｽ･水道業","96905.0","101013.0","98223.0","106382.0","99088.0","94894.0","91624.0","75177.0","86623.0","89345.0","64038.0","63111.0","69498.0"
"１.産業_(5)電気･ｶﾞｽ･水道業_①電　気業","59657.0","64003.0","60742.0","68128.0","61298.0","56794.0","53898.0","37731.0","48787.0","52323.0","29654.0","29135.0","36031.0"
"１.産業_(5)電気･ｶﾞｽ･水道業_②ｶﾞｽ･水道･熱供給業","37248.0","37010.0","37481.0","38254.0","37790.0","38100.0","37726.0","37446.0","37836.0","37022.0","34384.0","33976.0","33467.0"
"","","","","","","","","","","","","",""
"１.産業_(6)卸売･小売業","386111.0","373554.0","347763.0","349792.0","332985.0","333604.0","318230.0","312138.0","336473.0","334281.0","360371.0","350273.0","346640.0"
"１.産業_(6)卸売･小売業_①卸売業","133461.0","119349.0","115396.0","124349.0","122162.0","119151.0","110538.0","107613.0","122084.0","126547.0","146046.0","144393.0","137066.0"
"１.産業_(6)卸売･小売業_②小売業","252650.0","254205.0","232367.0","225443.0","210823.0","214453.0","207692.0","204525.0","214389.0","207734.0","214325.0","205880.0","209574.0"
"","","","","","","","","","","","","",""
"１.産業_(7)金融･保険業","174401.0","189622.0","185637.0","183361.0","187694.0","190066.0","186839.0","146081.0","144301.0","143931.0","140065.0","139708.0","138440.0"
"","","","","","","","","","","","","",""
"１.産業_(8)不動産業","363213.0","359874.0","360599.0","368633.0","377137.0","390427.0","400200.0","410308.0","422155.0","423857.0","426774.0","432940.0","432773.0"
"１.産業_(8)不動産業_①住宅賃貸業","339672.0","336470.0","337379.0","347031.0","355517.0","368329.0","376677.0","384942.0","392772.0","394620.0","397000.0","399442.0","400054.0"
"１.産業_(8)不動産業_②その他の不動産業","23541.0","23404.0","23220.0","21602.0","21620.0","22098.0","23523.0","25366.0","29383.0","29237.0","29774.0","33498.0","32719.0"
"","","","","","","","","","","","","",""
"１.産業_(9)運輸業","108668.0","120823.0","115712.0","129341.0","130487.0","139091.0","155553.0","142225.0","130799.0","140019.0","120813.0","134020.0","126009.0"
"","","","","","","","","","","","","",""
"１.産業_(10)情報通信業","93391.0","93205.0","90858.0","87583.0","85015.0","82773.0","82318.0","81188.0","86867.0","85598.0","86852.0","85937.0","91296.0"
"１.産業_(10)情報通信業_①通信業","77796.0","77203.0","75079.0","70695.0","63640.0","61871.0","60290.0","58568.0","61145.0","60552.0","59630.0","59273.0","62523.0"
"１.産業_(10)情報通信業_②放送業","4675.0","4849.0","4975.0","5091.0","5133.0","5096.0","5160.0","4602.0","4634.0","5364.0","4970.0","4457.0","5026.0"
"１.産業_(10)情報通信業_③情報ｻｰﾋﾞｽ、映像･文字情報制作業","10920.0","11153.0","10804.0","11797.0","16242.0","15806.0","16868.0","18018.0","21088.0","19682.0","22252.0","22207.0","23747.0"
"","","","","","","","","","","","","",""
"１.産業_(11)サ－ビス業","609912.0","612565.0","623067.0","624161.0","588984.0","583128.0","603967.0","609710.0","594765.0","605722.0","582536.0","589944.0","593374.0"
"１.産業_文字情報制作業_①公共ｻｰﾋﾞｽ業","203210.0","204294.0","213459.0","219739.0","224256.0","225543.0","237871.0","239400.0","248647.0","259994.0","261809.0","269783.0","267886.0"
"１.産業_文字情報制作業_②対事業所ｻｰﾋﾞｽ業","163931.0","165877.0","165135.0","167926.0","143142.0","141712.0","153779.0","164253.0","144463.0","147531.0","126400.0","124759.0","129995.0"
"１.産業_文字情報制作業_③対個人ｻｰﾋﾞｽ業","242771.0","242394.0","244473.0","236496.0","221586.0","215873.0","212317.0","206057.0","201655.0","198197.0","194327.0","195402.0","195493.0"
"","","","","","","","","","","","","",""
"２.政府ｻ-ﾋﾞｽ生産者","437058.0","432900.0","422826.0","419594.0","411409.0","402029.0","403696.0","403594.0","389447.0","383474.0","383821.0","378231.0","370988.0"
"２.政府ｻ-ﾋﾞｽ生産者_(1)電気･ｶﾞｽ･水道業","18985.0","18743.0","19329.0","18962.0","18749.0","19497.0","15115.0","15297.0","14894.0","14312.0","14139.0","14142.0","13593.0"
"２.政府ｻ-ﾋﾞｽ生産者_(2)ｻｰﾋﾞｽ業","126386.0","122681.0","119401.0","118376.0","116989.0","112016.0","110245.0","107244.0","103068.0","102306.0","100080.0","97037.0","93150.0"
"２.政府ｻ-ﾋﾞｽ生産者_(3)公務","291687.0","291476.0","284096.0","282256.0","275671.0","270516.0","278336.0","281053.0","271485.0","266856.0","269602.0","267052.0","264245.0"
"","","","","","","","","","","","","",""
"３.対家計民間非営利ｻ-ﾋﾞｽ生産者","61397.0","62158.0","58637.0","58387.0","77460.0","84719.0","81744.0","79246.0","74204.0","80048.0","88215.0","92671.0","89349.0"
"３.対家計民間非営利ｻ-ﾋﾞｽ生産者_(1)サ－ビス業","61397.0","62158.0","58637.0","58387.0","77460.0","84719.0","81744.0","79246.0","74204.0","80048.0","88215.0","92671.0","89349.0"
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"４．小計（１＋２＋３）","3617565.0","3568539.0","3550542.0","3556683.0","3652980.0","3679039.0","3595178.0","3477220.0","3312389.0","3494663.0","3532924.0","3540895.0","3551758.0"
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"５．輸入品に課される税・関税","28895.0","27926.0","29090.0","30487.0","34805.0","39535.0","40299.0","41620.0","30961.0","35375.0","41812.0","42712.0","47539.0"
"６．［控除］総資本形成に係る消費税","14414.0","14275.0","15741.0","15423.0","16318.0","16447.0","22396.0","19546.0","14452.0","14052.0","18246.0","22288.0","15986.0"
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"７．県内総生産　（４＋５－６）","3632046.0","3582190.0","3563891.0","3571747.0","3671467.0","3702127.0","3613081.0","3499294.0","3328898.0","3515986.0","3556490.0","3561319.0","3583311.0"
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"（参考）第一次産業","90338.0","92430.0","85714.0","90035.0","77906.0","84006.0","76567.0","78389.0","61550.0","76007.0","75083.0","72542.0","68801.0"
"（参考）第二次産業","1196171.0","1130395.0","1161506.0","1139414.0","1284815.0","1294302.0","1194440.0","1139164.0","985205.0","1132381.0","1204356.0","1201518.0","1224590.0"
"（参考）第三次産業","2331056.0","2345714.0","2303322.0","2327234.0","2290259.0","2300731.0","2324171.0","2259667.0","2265634.0","2286275.0","2253485.0","2266835.0","2258367.0"
